Date	Open	High	Low	Close*	Adj Close**	Volume
Jul 26, 2010	10,424.17	10,584.99	10,347.50	10,465.94	10,465.94	931,710,000
Jul 19, 2010	10,098.12	10,441.95	10,007.76	10,424.62	10,424.62	977,500,000
Jul 12, 2010	10,199.24	10,407.82	10,079.58	10,097.90	10,097.90	1,064,120,000
Jul 05, 2010	9,686.48	10,201.77	9,659.01	10,198.03	10,198.03	807,600,000
Jun 28, 2010	10,143.05	10,201.93	9,614.32	9,686.48	9,686.48	1,152,080,000
Jun 21, 2010	10,452.46	10,594.16	10,081.08	10,143.81	10,143.81	1,214,980,000
Jun 14, 2010	10,211.83	10,483.44	10,186.21	10,450.64	10,450.64	1,065,870,000
Jun 07, 2010	9,931.75	10,215.98	9,757.55	10,211.07	10,211.07	1,114,920,000
May 31, 2010	10,133.94	10,315.21	9,889.88	9,931.97	9,931.97	856,220,000
May 24, 2010	10,193.46	10,264.20	9,774.48	10,136.63	10,136.63	1,352,960,000
May 17, 2010	10,616.98	10,718.86	9,918.82	10,193.39	10,193.39	1,533,190,000
May 10, 2010	10,386.18	10,920.27	10,386.03	10,620.16	10,620.16	1,191,910,000
May 03, 2010	11,009.60	11,177.67	9,869.62	10,380.43	10,380.43	1,527,630,000
Apr 26, 2010	11,205.11	11,258.01	10,965.38	11,008.61	11,008.61	1,141,520,000
Apr 19, 2010	11,018.36	11,205.64	10,977.85	11,204.28	11,204.28	1,000,980,000
Apr 12, 2010	10,996.75	11,154.55	10,947.77	11,018.66	11,018.66	1,139,500,000
Apr 05, 2010	10,927.45	11,000.98	10,844.09	10,997.35	10,997.35	796,030,000
Mar 29, 2010	10,849.23	10,956.39	10,832.83	10,927.07	10,927.07	642,100,000
Mar 22, 2010	10,741.00	10,955.48	10,695.13	10,850.36	10,850.36	917,730,000
Mar 15, 2010	10,623.41	10,819.90	10,570.51	10,741.98	10,741.98	1,169,640,000
Mar 08, 2010	10,563.78	10,644.95	10,507.17	10,624.69	10,624.69	894,350,000
Mar 01, 2010	10,326.10	10,571.94	10,326.10	10,566.20	10,566.20	924,230,000
Feb 22, 2010	10,402.43	10,433.64	10,185.83	10,325.26	10,325.26	1,055,300,000
Feb 15, 2010	10,100.81	10,438.55	10,100.81	10,402.35	10,402.35	855,230,000
Feb 08, 2010	10,005.43	10,161.57	9,904.09	10,099.14	10,099.14	1,122,060,000
Feb 01, 2010	10,068.99	10,314.84	9,835.09	10,012.23	10,012.23	1,247,070,000
Jan 25, 2010	10,175.10	10,285.13	10,043.75	10,067.33	10,067.33	1,251,750,000
Jan 18, 2010	10,608.37	10,729.89	10,157.64	10,172.98	10,172.98	1,023,330,000
Jan 11, 2010	10,620.31	10,723.77	10,561.06	10,609.65	10,609.65	1,205,160,000
Jan 04, 2010	10,430.69	10,619.40	10,430.69	10,618.19	10,618.19	944,460,000
Dec 28, 2009	10,517.91	10,580.33	10,423.13	10,428.05	10,428.05	443,000,000
Dec 21, 2009	10,330.10	10,522.06	10,329.80	10,520.09	10,520.09	464,680,000
Dec 14, 2009	10,471.28	10,514.66	10,263.90	10,328.89	10,328.89	1,229,170,000
Dec 07, 2009	10,386.86	10,484.05	10,235.63	10,471.50	10,471.50	982,840,000
Nov 30, 2009	10,309.77	10,516.70	10,263.29	10,388.90	10,388.90	1,277,930,000
Nov 23, 2009	10,320.13	10,495.61	10,231.25	10,309.92	10,309.92	606,470,000
Nov 16, 2009	10,267.53	10,438.17	10,256.11	10,318.16	10,318.16	953,910,000
Nov 09, 2009	10,020.62	10,341.97	10,020.62	10,270.47	10,270.47	939,430,000
Nov 02, 2009	9,712.13	10,044.50	9,678.95	10,023.42	10,023.42	1,090,160,000
Oct 26, 2009	9,972.33	10,072.32	9,684.54	9,712.73	9,712.73	1,341,410,000
Oct 19, 2009	9,996.67	10,119.47	9,916.78	9,972.18	9,972.18	1,189,360,000
Oct 12, 2009	9,865.24	10,062.94	9,815.06	9,995.91	9,995.91	1,215,420,000
Oct 05, 2009	9,488.73	9,865.01	9,481.09	9,864.94	9,864.94	918,220,000
Sep 28, 2009	9,663.23	9,834.48	9,430.08	9,487.67	9,487.67	1,072,910,000
Sep 21, 2009	9,818.61	9,917.99	9,641.01	9,665.19	9,665.19	992,020,000
Sep 14, 2009	9,598.08	9,854.58	9,535.96	9,820.20	9,820.20	1,312,180,000
Sep 07, 2009	9,440.13	9,649.85	9,439.98	9,605.41	9,605.41	824,080,000
Aug 31, 2009	9,542.91	9,557.95	9,252.93	9,441.27	9,441.27	965,630,000
Aug 24, 2009	9,506.18	9,630.20	9,459.40	9,544.20	9,544.20	888,890,000
