Date	Open	High	Low	Close*	Adj Close**	Volume
Jul 26, 2010	1,101.25	1,118.75	1,083.50	1,098.25	1,098.25	9,391,345
Jul 19, 2010	1,061.75	1,101.50	1,050.75	1,100.50	1,100.50	10,747,626
Jul 12, 2010	1,071.50	1,099.25	1,059.00	1,063.00	1,063.00	10,244,598
Jul 05, 2010	1,015.00	1,075.00	1,002.75	1,072.50	1,072.50	8,521,804
Jun 28, 2010	1,074.25	1,079.75	1,006.00	1,014.25	1,014.25	12,908,644
Jun 21, 2010	1,116.00	1,129.50	1,062.75	1,074.75	1,074.75	11,690,814
Jun 14, 2010	1,090.50	1,122.50	1,088.50	1,118.83	1,118.83	4,374,679
Jun 07, 2010	1,064.00	1,092.25	1,041.25	1,089.25	1,089.25	12,365,773
May 31, 2010	1,088.50	1,107.75	1,059.25	1,066.00	1,066.00	10,053,557
May 24, 2010	1,085.50	1,106.75	1,036.75	1,088.50	1,088.50	13,576,992
May 17, 2010	1,133.75	1,147.50	1,051.25	1,084.50	1,084.50	18,134,836
May 10, 2010	1,125.25	1,174.75	1,121.50	1,135.25	1,135.25	13,356,859
May 03, 2010	1,184.50	1,202.00	1,056.00	1,107.00	1,107.00	19,098,053
Apr 26, 2010	1,211.25	1,216.75	1,176.75	1,183.50	1,183.50	12,951,049
Apr 19, 2010	1,186.00	1,213.75	1,179.75	1,212.25	1,212.25	10,708,137
Apr 12, 2010	1,194.75	1,210.50	1,182.75	1,190.25	1,190.25	9,852,746
Apr 05, 2010	1,178.75	1,193.00	1,171.00	1,192.50	1,192.50	7,954,215
Mar 29, 2010	1,164.75	1,178.75	1,161.25	1,173.70	1,173.70	7,260,118
Mar 22, 2010	1,150.75	1,176.50	1,146.75	1,163.50	1,163.50	10,281,472
Mar 15, 2010	1,151.00	1,170.00	1,141.25	1,172.95	1,172.95	3,949,186
Mar 08, 2010	1,136.25	1,159.50	1,131.50	1,151.25	1,151.25	7,520,610
Mar 01, 2010	1,105.50	1,138.75	1,104.25	1,136.50	1,136.50	8,061,046
Feb 22, 2010	1,106.00	1,112.75	1,084.50	1,103.50	1,103.50	10,066,815
Feb 15, 2010	1,077.50	1,111.00	1,073.50	1,106.25	1,106.25	7,360,879
Feb 08, 2010	1,062.00	1,079.75	1,053.00	1,079.00	1,079.00	12,291,057
Feb 01, 2010	1,070.00	1,101.50	1,040.75	1,059.75	1,059.75	13,170,284
Jan 25, 2010	1,094.00	1,103.50	1,066.50	1,070.50	1,070.50	13,284,325
Jan 18, 2010	1,131.75	1,147.00	1,086.25	1,091.00	1,091.00	11,303,104
Jan 11, 2010	1,141.75	1,148.00	1,127.50	1,132.25	1,132.25	9,120,478
Jan 04, 2010	1,113.75	1,141.75	1,113.25	1,141.50	1,141.50	7,024,459
Dec 28, 2009	1,120.50	1,128.50	1,109.75	1,110.75	1,110.75	2,289,388
Dec 21, 2009	1,098.75	1,122.50	1,096.50	1,122.00	1,122.00	3,071,447
Dec 14, 2009	1,107.50	1,118.00	1,095.75	1,102.38	1,102.38	3,868,174
Dec 07, 2009	1,108.00	1,110.75	1,085.00	1,108.00	1,108.00	8,190,068
Nov 30, 2009	1,091.50	1,119.00	1,084.50	1,108.00	1,108.00	10,505,249
Nov 23, 2009	1,089.75	1,111.50	1,067.00	1,089.50	1,089.50	5,912,474
Nov 16, 2009	1,092.00	1,112.25	1,083.50	1,090.00	1,090.00	8,488,057
Nov 09, 2009	1,065.75	1,103.25	1,065.00	1,091.50	1,091.50	8,943,155
Nov 02, 2009	1,031.25	1,069.50	1,026.00	1,066.25	1,066.25	11,491,355
Oct 26, 2009	1,076.50	1,088.50	1,029.50	1,033.00	1,033.00	13,318,084
Oct 19, 2009	1,080.25	1,099.00	1,070.25	1,077.00	1,077.00	10,501,718
Oct 12, 2009	1,067.75	1,095.50	1,063.00	1,082.00	1,082.00	8,404,963
Oct 05, 2009	1,021.75	1,068.50	1,019.50	1,068.00	1,068.00	8,729,961
Sep 28, 2009	1,042.25	1,065.75	1,012.00	1,021.75	1,021.75	11,341,070
Sep 21, 2009	1,059.25	1,075.75	1,036.25	1,041.00	1,041.00	9,442,947
Sep 14, 2009	1,040.50	1,076.50	1,032.75	1,071.57	1,071.57	3,900,035
Sep 07, 2009	1,013.50	1,048.25	1,012.25	1,041.50	1,041.50	5,892,147
Aug 31, 2009	1,026.50	1,031.00	991.00	1,014.00	1,014.00	9,798,420
Aug 24, 2009	1,025.00	1,038.75	1,014.75	1,027.50	1,027.50	9,318,649
Aug 17, 2009	1,004.25	1,027.00	975.50	1,025.25	1,025.25	9,654,959
Aug 10, 2009	1,005.75	1,015.75	985.75	1,005.75	1,005.75	8,507,178
