Date	Open	High	Low	Close*	Adj Close**	Volume
Jul 26, 2010	18.195	18.210	17.423	17.987	17.987	343
Jul 19, 2010	17.534	18.190	17.495	18.096	18.096	857
Jul 12, 2010	17.897	18.420	17.773	17.773	17.773	561
Jul 05, 2010	17.855	18.165	17.555	18.053	18.053	655
Jun 28, 2010	18.673	18.775	17.620	17.698	17.698	48,225
Jun 21, 2010	18.802	19.105	18.454	19.105	19.105	13
Jun 14, 2010	18.402	19.175	18.200	19.175	19.175	7
Jun 07, 2010	18.153	18.468	17.310	18.222	18.222	56
May 31, 2010	18.540	18.630	17.290	17.290	17.290	56
May 24, 2010	17.982	18.600	17.565	18.411	18.411	449
May 17, 2010	18.835	19.310	17.500	17.631	17.631	745
May 10, 2010	18.530	19.650	18.410	19.202	19.202	711
May 03, 2010	18.813	18.855	17.090	18.429	18.429	4,402
Apr 26, 2010	18.334	18.765	18.055	18.611	18.611	68,867
Apr 19, 2010	17.725	18.189	17.725	18.189	18.189	8
Apr 12, 2010	18.403	18.550	17.669	17.669	17.669	41
Apr 05, 2010	18.104	18.340	17.917	18.340	18.340	175
Mar 29, 2010	17.373	17.945	17.316	17.876	17.876	272
Mar 22, 2010	16.920	17.012	16.590	16.894	16.894	350
Mar 15, 2010	17.083	17.520	16.990	17.017	17.017	746
Mar 08, 2010	17.252	17.480	16.880	17.024	17.024	1,748
Mar 01, 2010	16.500	17.475	16.320	17.362	17.362	3,598
Feb 22, 2010	16.222	16.520	15.610	16.500	16.500	85,775
Feb 15, 2010	16.150	16.413	16.060	16.413	16.413	81
Feb 08, 2010	15.078	15.592	15.000	15.449	15.449	709
Feb 01, 2010	16.653	16.736	14.823	14.823	14.823	207
Jan 25, 2010	17.131	17.131	16.100	16.183	16.183	216
Jan 18, 2010	18.784	18.784	16.918	16.918	16.918	148
Jan 11, 2010	18.683	18.700	18.243	18.411	18.411	155
Jan 04, 2010	17.440	18.458	16.870	18.458	18.458	95
Dec 28, 2009	17.543	17.585	16.760	16.822	16.822	462
Dec 21, 2009	17.400	17.465	16.800	17.423	17.423	169
Dec 14, 2009	17.326	17.710	17.100	17.305	17.305	560
Dec 07, 2009	18.360	18.540	16.930	17.084	17.084	1,331
Nov 30, 2009	18.345	19.430	18.110	18.496	18.496	8,971
Nov 23, 2009	18.603	18.900	17.700	18.302	18.302	76,298
Nov 16, 2009	18.390	18.595	18.000	18.433	18.433	10
Nov 09, 2009	17.470	17.700	17.085	17.370	17.370	108
Nov 02, 2009	16.431	17.490	16.431	17.365	17.365	70
